Site,Site2,Month,Order2,PlantSpecies,BloomsInTransect,Blooms,plus1,LogBloom,Count,sum,sig
Uthe,Site 4,September,27,Swamp smartweed,0,0,1,0,0,,
Uthe,Site 4,September,50,Tall boneset,480,480,481,2.682145076,2,,
Uthe,Site 4,September,2,White clover,0,0,1,0,0,,
Uthe,Site 4,September,44,White heath aster,90,90,91,1.959041392,0,,
Uthe,Site 4,September,10,White sweet clover,0,0,1,0,0,,
Uthe,Site 4,September,40,White vervain,0,0,1,0,0,,
Uthe,Site 4,September,20,Whorled milkweed,0,0,1,0,0,,
Uthe,Site 4,September,41,Wild bergamot,0,0,1,0,0,,
Uthe,Site 4,September,4,Wild parsnip,0,0,1,0,0,,
Uthe,Site 4,September,24,Yarrow,0,0,1,0,0,,
Uthe,Site 4,September,9,Yellow sweet clover,0,0,1,0,0,,
