Site,Site2,Month,Order2,PlantSpecies,BloomsInTransect,Blooms,plus1,LogBloom,Count,sum,sig
Uthe,Site 4,JulyAugust,5,Crown vetch,0,0,1,0,0,,
Uthe,Site 4,JulyAugust,34,Cup plant,0,0,1,0,0,,
Uthe,Site 4,JulyAugust,11,Dandelion,0,0,1,0,0,,
Uthe,Site 4,JulyAugust,20,Deptford pink,0,0,1,0,0,,
Uthe,Site 4,JulyAugust,7,Eastern daisy fleabane,0,0,1,0,0,,
Uthe,Site 4,JulyAugust,13,Foxglove beardtounge,0,0,1,0,0,,
Uthe,Site 4,JulyAugust,46,Frost aster,0,0,1,0,0,,
Uthe,Site 4,JulyAugust,3,Golden alexander,0,0,1,0,0,,
Uthe,Site 4,JulyAugust,47,Goldenrod,13,6.5,7.5,0.875061263,0,,
Uthe,Site 4,JulyAugust,35,Greyheaded coneflower,1224,612,613,2.787460475,3,,
Uthe,Site 4,JulyAugust,12,Hairy ruellia,0,0,1,0,0,,
Uthe,Site 4,JulyAugust,21,Hoary vervain,5,2.5,3.5,0.544068044,1,,
Uthe,Site 4,JulyAugust,36,Ironweed,6,3,4,0.602059991,2,,
Uthe,Site 4,JulyAugust,43,Jersulem artichoke,0,0,1,0,0,,
Uthe,Site 4,JulyAugust,22,Morning glory,1,1,2,0.301029996,0,,
Uthe,Site 4,JulyAugust,32,Mountain mint,0,0,1,0,0,,
Uthe,Site 4,JulyAugust,48,New england aster,0,0,1,0,0,,
Uthe,Site 4,JulyAugust,23,Oxeye sunflower,143,71.5,72.5,1.860338007,4,,
Uthe,Site 4,JulyAugust,14,Pale purple coneflower,1,1,2,0.301029996,2,,
Uthe,Site 4,JulyAugust,37,Partridge pea,15,7.5,8.5,0.929418926,0,,
Uthe,Site 4,JulyAugust,38,Purple prairie clover,0,0,1,0,0,,
Uthe,Site 4,JulyAugust,18,Queen anne's lace,0,0,1,0,0,,
Uthe,Site 4,JulyAugust,39,Rattlesnake master,0,0,1,0,0,,
Uthe,Site 4,JulyAugust,1,Red clover,0,0,1,0,0,,
Uthe,Site 4,JulyAugust,49,Sawtooth sunflower,0,0,1,0,0,,
Uthe,Site 4,JulyAugust,31,Showy ticktrefoil,0,0,1,0,0,,
Uthe,Site 4,JulyAugust,26,St. john's wort,0,0,1,0,0,,
Uthe,Site 4,JulyAugust,33,Swamp milkweed,0,0,1,0,0,,
Uthe,Site 4,JulyAugust,27,Swamp smartweed,0,0,1,0,0,,
Uthe,Site 4,JulyAugust,50,Tall boneset,0,0,1,0,0,,
Uthe,Site 4,JulyAugust,2,White clover,0,0,1,0,0,,
Uthe,Site 4,JulyAugust,44,White heath aster,0,0,1,0,0,,
Uthe,Site 4,JulyAugust,10,White sweet clover,0,0,1,0,0,,
Uthe,Site 4,JulyAugust,40,White vervain,0,0,1,0,0,,
Uthe,Site 4,JulyAugust,20,Whorled milkweed,0,0,1,0,0,,
Uthe,Site 4,JulyAugust,41,Wild bergamot,49,24.5,25.5,1.40654018,4,,
Uthe,Site 4,JulyAugust,4,Wild parsnip,0,0,1,0,0,,
Uthe,Site 4,JulyAugust,24,Yarrow,0,0,1,0,0,,
Uthe,Site 4,JulyAugust,9,Yellow sweet clover,0,0,1,0,0,,
AD,Site 6,JulyAugust,6,Alfalfa,0,0,1,0,0,0,c
AD,Site 6,JulyAugust,28,Black eyed susan,0,0,1,0,0,10,bc
AD,Site 6,JulyAugust,29,Brown eyed susan,0,0,1,0,0,0,c
AD,Site 6,JulyAugust,19,Bull thistle,0,0,1,0,0,65,abc
AD,Site 6,JulyAugust,15,Butterfly milkweed,0,1,2,0.301029996,9,88,ab
AD,Site 6,JulyAugust,42,Canada lettuce,0,0,1,0,0,0,c
AD,Site 6,JulyAugust,16,Canada thistle,0,0,1,0,0,1,c
AD,Site 6,JulyAugust,8,Carolina horse nettle,0,0,1,0,0,0,c
AD,Site 6,JulyAugust,43,Chicory,1,1,2,0.301029996,1,1,c
AD,Site 6,JulyAugust,25,Common evening primrose,0,0,1,0,0,0,c
AD,Site 6,JulyAugust,17,Common milkweed,14,14,15,1.176091259,7,93,ab
AD,Site 6,JulyAugust,30,Common selfheal,0,0,1,0,0,0,c
AD,Site 6,JulyAugust,45,Common sneezeweed,0,0,1,0,0,0,c
AD,Site 6,JulyAugust,5,Crown vetch,0,0,1,0,0,0,c
AD,Site 6,JulyAugust,34,Cup plant,0,0,1,0,0,2,c
AD,Site 6,JulyAugust,11,Dandelion,0,1,2,0.301029996,17,17,bc
AD,Site 6,JulyAugust,20,Deptford pink,0,0,1,0,0,0,c
AD,Site 6,JulyAugust,7,Eastern daisy fleabane,0,0,1,0,0,1,c
AD,Site 6,JulyAugust,13,Foxglove beardtounge,0,0,1,0,0,0,c
AD,Site 6,JulyAugust,46,Frost aster,0,0,1,0,0,0,c
AD,Site 6,JulyAugust,3,Golden alexander,0,0,1,0,0,0,c
AD,Site 6,JulyAugust,47,Goldenrod,0,0,1,0,0,1,c
AD,Site 6,JulyAugust,35,Greyheaded coneflower,124,124,125,2.096910013,1,17,bc
AD,Site 6,JulyAugust,12,Hairy ruellia,0,0,1,0,0,0,c
AD,Site 6,JulyAugust,21,Hoary vervain,5,5,6,0.77815125,0,4,c
AD,Site 6,JulyAugust,36,Ironweed,0,0,1,0,0,2,c
AD,Site 6,JulyAugust,43,Jersulem artichoke,0,0,1,0,0,0,c
AD,Site 6,JulyAugust,22,Morning glory,0,0,1,0,0,0,c
AD,Site 6,JulyAugust,32,Mountain mint,0,0,1,0,0,0,c
AD,Site 6,JulyAugust,48,New england aster,0,0,1,0,0,0,c
AD,Site 6,JulyAugust,23,Oxeye sunflower,17,17,18,1.255272505,2,41,abc
AD,Site 6,JulyAugust,14,Pale purple coneflower,0,0,1,0,0,31,abc
AD,Site 6,JulyAugust,37,Partridge pea,0,0,1,0,0,0,c
AD,Site 6,JulyAugust,38,Purple prairie clover,0,0,1,0,0,1,c
AD,Site 6,JulyAugust,18,Queen anne's lace,0,0,1,0,0,0,c
