Site,Site2,Month,Date,Color,Blooms,Count,colorabun,colorabun1,logcolorabun1
Jesse,Site 3,JulyAugust,7/28/2020,Purple,338.5,20,0.059084195,1.059084195,0.024930487
Jesse,Site 3,JulyAugust,8/7/2020,Purple,338.5,0,0,1,0
Jesse,Site 3,JulyAugust,8/14/2020,Purple,338.5,0,0,1,0
Jesse,Site 3,JulyAugust,8/29/2020,Purple,338.5,0,0,1,0
Jesse,Site 3,JulyAugust,7/6/2020,White,130,1,0.007692308,1.007692308,0.003327943
Jesse,Site 3,JulyAugust,7/17/2020,White,130,0,0,1,0
Jesse,Site 3,JulyAugust,7/28/2020,White,130,0,0,1,0
Jesse,Site 3,JulyAugust,8/7/2020,White,130,0,0,1,0
Jesse,Site 3,JulyAugust,8/14/2020,White,130,0,0,1,0
Jesse,Site 3,JulyAugust,8/29/2020,White,130,0,0,1,0
Jesse,Site 3,JulyAugust,7/6/2020,Yellow,209.5,0,0,1,0
Jesse,Site 3,JulyAugust,7/17/2020,Yellow,209.5,1,0.00477327,1.00477327,0.002068073
Jesse,Site 3,JulyAugust,7/28/2020,Yellow,209.5,0,0,1,0
Jesse,Site 3,JulyAugust,8/7/2020,Yellow,209.5,1,0.00477327,1.00477327,0.002068073
Jesse,Site 3,JulyAugust,8/14/2020,Yellow,209.5,9,0.042959427,1.042959427,0.018267414
Jesse,Site 3,JulyAugust,8/29/2020,Yellow,209.5,8,0.038186158,1.038186158,0.016275234
Uthe,Site 4,JulyAugust,7/2/2020,Orange,1,1,1,2,0.301029996
Uthe,Site 4,JulyAugust,7/2/2020,Pink,1,11,11,12,1.079181246
Uthe,Site 4,JulyAugust,7/2/2020,Purple,32,2,0.0625,1.0625,0.026328939
Uthe,Site 4,JulyAugust,7/2/2020,White,1,0,0,1,0
Uthe,Site 4,JulyAugust,7/2/2020,Yellow,753.5,2,0.00265428,1.00265428,0.001151212
Uthe,Site 4,JulyAugust,7/12/2020,Orange,1,0,0,1,0
Uthe,Site 4,JulyAugust,7/12/2020,Pink,1,1,1,2,0.301029996
Uthe,Site 4,JulyAugust,7/12/2020,Purple,32,4,0.125,1.125,0.051152522
Uthe,Site 4,JulyAugust,7/12/2020,White,1,0,0,1,0
Uthe,Site 4,JulyAugust,7/12/2020,Yellow,753.5,0,0,1,0
Uthe,Site 4,JulyAugust,7/22/2020,Orange,1,0,0,1,0
Uthe,Site 4,JulyAugust,7/22/2020,Pink,1,0,0,1,0
Uthe,Site 4,JulyAugust,7/22/2020,Purple,32,38,1.1875,2.1875,0.339948062
Uthe,Site 4,JulyAugust,7/22/2020,White,1,0,0,1,0
Uthe,Site 4,JulyAugust,7/22/2020,Yellow,753.5,3,0.00398142,1.00398142,0.001725676
Uthe,Site 4,JulyAugust,8/2/2020,Orange,1,0,0,1,0
Uthe,Site 4,JulyAugust,8/2/2020,Pink,1,0,0,1,0
Uthe,Site 4,JulyAugust,8/2/2020,Purple,32,0,0,1,0
Uthe,Site 4,JulyAugust,8/2/2020,White,1,0,0,1,0
Uthe,Site 4,JulyAugust,8/2/2020,Yellow,753.5,2,0.00265428,1.00265428,0.001151212
